1 278160  Note_on_c 0 76 80 
1 278160  Note_on_c 0 74 80 
1 278399  Note_on_c 0 76 0 
1 278399  Note_on_c 0 74 0 
1 278400  Note_on_c 0 79 80 
1 278400  Note_on_c 0 74 80 
1 278639  Note_on_c 0 79 0 
1 278639  Note_on_c 0 74 0 
1 278640  Note_on_c 0 81 80 
1 278640  Note_on_c 0 74 80 
1 278879  Note_on_c 0 81 0 
1 278879  Note_on_c 0 74 0 
1 278880  Note_on_c 0 83 80 
1 279119  Note_on_c 0 83 0 
1 279120  Note_on_c 0 76 80 
1 279239  Note_on_c 0 76 0 
1 279240  Note_on_c 0 74 80 
1 279359  Note_on_c 0 74 0 
1 279360  Note_on_c 0 76 80 
1 279479  Note_on_c 0 76 0 
1 279480  Note_on_c 0 74 80 
1 279599  Note_on_c 0 74 0 
1 279600  Note_on_c 0 81 80 
1 279839  Note_on_c 0 81 0 
1 279840  Note_on_c 0 83 80 
1 280079  Note_on_c 0 83 0 
1 280080  Note_on_c 0 76 80 
1 280199  Note_on_c 0 76 0 
1 280200  Note_on_c 0 74 80 
1 280319  Note_on_c 0 74 0 
1 280320  Note_on_c 0 76 80 
1 280439  Note_on_c 0 76 0 
1 280440  Note_on_c 0 74 80 
1 280559  Note_on_c 0 74 0 
1 280560  Note_on_c 0 81 80 
1 280799  Note_on_c 0 81 0 
1 280800  Note_on_c 0 83 80 
1 281039  Note_on_c 0 83 0 
1 281040  Note_on_c 0 76 80 
1 281159  Note_on_c 0 76 0 
1 281160  Note_on_c 0 74 80 
1 281279  Note_on_c 0 74 0 
1 281280  Note_on_c 0 76 80 
1 281399  Note_on_c 0 76 0 
1 281400  Note_on_c 0 74 80 
1 281519  Note_on_c 0 74 0 
1 281520  Note_on_c 0 79 80 
1 281759  Note_on_c 0 79 0 
1 281760  Note_on_c 0 78 80 
1 281839  Note_on_c 0 78 0 
1 281840  Note_on_c 0 79 80 
1 281919  Note_on_c 0 79 0 
1 281920  Note_on_c 0 78 80 
1 281999  Note_on_c 0 78 0 
1 282000  Note_on_c 0 76 80 
1 282239  Note_on_c 0 76 0 
1 282240  Note_on_c 0 74 80 
1 282479  Note_on_c 0 74 0 
1 282480  Note_on_c 0 81 80 
1 282480  Note_on_c 0 74 80 
1 282719  Note_on_c 0 81 0 
1 282719  Note_on_c 0 74 0 
1 282720  Note_on_c 0 83 80 
1 282959  Note_on_c 0 83 0 
1 282960  Note_on_c 0 76 80 
1 283079  Note_on_c 0 76 0 
1 283080  Note_on_c 0 74 80 
1 283199  Note_on_c 0 74 0 
1 283200  Note_on_c 0 76 80 
1 283319  Note_on_c 0 76 0 
1 283320  Note_on_c 0 74 80 
1 283439  Note_on_c 0 74 0 
1 283440  Note_on_c 0 81 80 
1 283679  Note_on_c 0 81 0 
1 283680  Note_on_c 0 83 80 
1 283919  Note_on_c 0 83 0 
1 283920  Note_on_c 0 76 80 
1 284039  Note_on_c 0 76 0 
1 284040  Note_on_c 0 74 80 
1 284159  Note_on_c 0 74 0 
1 284160  Note_on_c 0 76 80 
1 284279  Note_on_c 0 76 0 
1 284280  Note_on_c 0 74 80 
1 284340  Note_on_c 0 76 80 
1 284369  Note_on_c 0 76 0 
1 284370  Note_on_c 0 79 80 
1 284399  Note_on_c 0 79 0 
1 284399  Note_on_c 0 74 0 
1 284400  Note_on_c 0 81 80 
1 284639  Note_on_c 0 81 0 
1 284640  Note_on_c 0 83 80 
1 284879  Note_on_c 0 83 0 
1 284880  Note_on_c 0 86 80 
1 285119  Note_on_c 0 86 0 
1 285120  Note_on_c 0 91 80 
1 285120  Note_on_c 0 83 80 
1 285359  Note_on_c 0 91 0 
1 285359  Note_on_c 0 83 0 
1 285360  Note_on_c 0 90 80 
1 285360  Note_on_c 0 83 80 
1 285479  Note_on_c 0 90 0 
1 285479  Note_on_c 0 83 0 
1 285480  Note_on_c 0 91 80 
1 285599  Note_on_c 0 91 0 
1 285600  Note_on_c 0 90 80 
1 285719  Note_on_c 0 90 0 
1 285720  Note_on_c 0 88 80 
1 285839  Note_on_c 0 88 0 
1 285840  Note_on_c 0 86 80 
1 286079  Note_on_c 0 86 0 
1 286080  Note_on_c 0 83 80 
1 286319  Note_on_c 0 83 0 
1 286320  Note_on_c 0 81 80 
1 286320  Note_on_c 0 74 80 
1 286559  Note_on_c 0 81 0 
1 286559  Note_on_c 0 74 0 
1 286560  Note_on_c 0 83 80 
1 286799  Note_on_c 0 83 0 
1 286800  Note_on_c 0 76 80 
1 286919  Note_on_c 0 76 0 
1 286920  Note_on_c 0 74 80 
1 287039  Note_on_c 0 74 0 
1 287040  Note_on_c 0 76 80 
1 287159  Note_on_c 0 76 0 
1 287160  Note_on_c 0 74 80 
1 287279  Note_on_c 0 74 0 
1 287280  Note_on_c 0 81 80 
1 287519  Note_on_c 0 81 0 
1 287520  Note_on_c 0 83 80 
1 287759  Note_on_c 0 83 0 
1 287760  Note_on_c 0 76 80 
1 287879  Note_on_c 0 76 0 
1 287880  Note_on_c 0 74 80 
1 287999  Note_on_c 0 74 0 
1 288000  Note_on_c 0 76 80 
1 288119  Note_on_c 0 76 0 
1 288120  Note_on_c 0 74 80 
1 288239  Note_on_c 0 74 0 
1 288240  Note_on_c 0 81 80 
1 288479  Note_on_c 0 81 0 
1 288480  Note_on_c 0 83 80 
1 288719  Note_on_c 0 83 0 
1 288720  Note_on_c 0 76 80 
1 288839  Note_on_c 0 76 0 
1 288840  Note_on_c 0 74 80 
1 288959  Note_on_c 0 74 0 
1 288960  Note_on_c 0 76 80 
1 289079  Note_on_c 0 76 0 
1 289080  Note_on_c 0 74 80 
1 289199  Note_on_c 0 74 0 
1 289200  Note_on_c 0 79 80 
1 289439  Note_on_c 0 79 0 
1 289440  Note_on_c 0 78 80 
1 289519  Note_on_c 0 78 0 
1 289520  Note_on_c 0 79 80 
1 289599  Note_on_c 0 79 0 
1 289600  Note_on_c 0 78 80 
1 289679  Note_on_c 0 78 0 
1 289680  Note_on_c 0 76 80 
1 289919  Note_on_c 0 76 0 
1 289920  Note_on_c 0 74 80 
1 290159  Note_on_c 0 74 0 
1 290160  Note_on_c 0 83 80 
1 290160  Note_on_c 0 76 80 
1 290279  Note_on_c 0 83 0 
1 290279  Note_on_c 0 76 0 
1 290280  Note_on_c 0 81 80 
1 290399  Note_on_c 0 81 0 
1 290400  Note_on_c 0 83 80 
1 290519  Note_on_c 0 83 0 
1 290520  Note_on_c 0 86 80 
1 290639  Note_on_c 0 86 0 
1 290640  Note_on_c 0 88 80 
1 290759  Note_on_c 0 88 0 
1 290760  Note_on_c 0 86 80 
1 290879  Note_on_c 0 86 0 
1 290880  Note_on_c 0 83 80 
1 290999  Note_on_c 0 83 0 
1 291000  Note_on_c 0 81 80 
1 291119  Note_on_c 0 81 0 
1 291120  Note_on_c 0 76 80 
1 291359  Note_on_c 0 76 0 
1 291360  Note_on_c 0 79 80 
1 291599  Note_on_c 0 79 0 
1 291600  Note_on_c 0 81 80 
1 291600  Note_on_c 0 76 80 
1 291839  Note_on_c 0 81 0 
1 291839  Note_on_c 0 76 0 
1 291840  Note_on_c 0 83 80 
1 291840  Note_on_c 0 76 80 
1 292079  Note_on_c 0 83 0 
1 292079  Note_on_c 0 76 0 
1 292080  Note_on_c 0 76 80 
1 292080  Note_on_c 0 71 80 
1 292439  Note_on_c 0 76 0 
1 292439  Note_on_c 0 71 0 
1 292440  Note_on_c 0 76 80 
1 292440  Note_on_c 0 71 80 
1 292799  Note_on_c 0 76 0 
1 292799  Note_on_c 0 71 0 
1 292800  Note_on_c 0 74 80 
1 292800  Note_on_c 0 69 80 
1 293039  Note_on_c 0 74 0 
1 293039  Note_on_c 0 69 0 
1 293040  Note_on_c 0 76 80 
1 293040  Note_on_c 0 71 80 
1 293279  Note_on_c 0 76 0 
1 293279  Note_on_c 0 71 0 
1 293280  Note_on_c 0 74 80 
1 293327  Note_on_c 0 74 0 
1 293328  Note_on_c 0 72 80 
1 293375  Note_on_c 0 72 0 
1 293376  Note_on_c 0 71 80 
1 293423  Note_on_c 0 71 0 
1 293424  Note_on_c 0 69 80 
1 293471  Note_on_c 0 69 0 
1 293472  Note_on_c 0 67 80 
1 293519  Note_on_c 0 67 0 
1 293520  Note_on_c 0 65 80 
1 293567  Note_on_c 0 65 0 
1 293568  Note_on_c 0 64 80 
1 293615  Note_on_c 0 64 0 
1 293616  Note_on_c 0 62 80 
1 293663  Note_on_c 0 62 0 
1 293664  Note_on_c 0 60 80 
1 293711  Note_on_c 0 60 0 
1 293712  Note_on_c 0 59 80 
1 293759  Note_on_c 0 59 0 
1 294000  Note_on_c 0 64 80 
1 294000  Note_on_c 0 59 80 
1 294359  Note_on_c 0 64 0 
1 294359  Note_on_c 0 59 0 
1 294360  Note_on_c 0 64 80 
1 294360  Note_on_c 0 59 80 
1 294719  Note_on_c 0 64 0 
1 294719  Note_on_c 0 59 0 
1 294720  Note_on_c 0 67 80 
1 294720  Note_on_c 0 62 80 
1 294720  Note_on_c 0 59 80 
1 294959  Note_on_c 0 67 0 
1 294959  Note_on_c 0 62 0 
1 294959  Note_on_c 0 59 0 
1 294960  Note_on_c 0 64 80 
1 294960  Note_on_c 0 59 80 
1 297839  Note_on_c 0 64 0 
1 297839  Note_on_c 0 59 0 
1 297840  End_track    
2 0  Start_track    
2 0  Key_signature -1 " ""major"""  
2 1680  Note_on_c 0 38 80 
2 1920  Note_on_c 0 50 80 
2 1920  Note_on_c 0 45 80 
2 2279  Note_on_c 0 50 0 
2 2279  Note_on_c 0 45 0 
2 2279  Note_on_c 0 38 0 
2 2280  Note_on_c 0 50 80 
2 2280  Note_on_c 0 45 80 
2 2280  Note_on_c 0 38 80 
2 2639  Note_on_c 0 50 0 
2 2639  Note_on_c 0 45 0 
2 2639  Note_on_c 0 38 0 
2 2640  Note_on_c 0 48 80 
2 2640  Note_on_c 0 43 80 
2 2640  Note_on_c 0 36 80 
2 2879  Note_on_c 0 48 0 
2 2879  Note_on_c 0 43 0 
2 2879  Note_on_c 0 36 0 
2 2880  Note_on_c 0 50 80 
2 2880  Note_on_c 0 45 80 
2 2880  Note_on_c 0 38 80 
2 3239  Note_on_c 0 50 0 
2 3239  Note_on_c 0 45 0 
2 3239  Note_on_c 0 38 0 
2 3240  Note_on_c 0 50 80 
2 3240  Note_on_c 0 45 80 
2 3240  Note_on_c 0 38 80 
2 3599  Note_on_c 0 50 0 
2 3599  Note_on_c 0 45 0 
2 3599  Note_on_c 0 38 0 
2 3600  Note_on_c 0 48 80 
2 3600  Note_on_c 0 43 80 
2 3600  Note_on_c 0 36 80 
2 3839  Note_on_c 0 48 0 
2 3839  Note_on_c 0 43 0 
2 3839  Note_on_c 0 36 0 
2 3840  Note_on_c 0 50 80 
2 3840  Note_on_c 0 45 80 
2 3840  Note_on_c 0 38 80 
2 4199  Note_on_c 0 50 0 
2 4199  Note_on_c 0 45 0 
2 4199  Note_on_c 0 38 0 
2 4200  Note_on_c 0 50 80 
2 4200  Note_on_c 0 45 80 
2 4200  Note_on_c 0 38 80 
2 4559  Note_on_c 0 50 0 
2 4559  Note_on_c 0 45 0 
2 4559  Note_on_c 0 38 0 
2 4560  Note_on_c 0 48 80 
2 4560  Note_on_c 0 43 80 
2 4560  Note_on_c 0 36 80 
2 4799  Note_on_c 0 48 0 
2 4799  Note_on_c 0 43 0 
2 4799  Note_on_c 0 36 0 
2 4800  Note_on_c 0 50 80 
2 4800  Note_on_c 0 45 80 
2 4800  Note_on_c 0 38 80 
2 5039  Note_on_c 0 50 0 
2 5039  Note_on_c 0 45 0 
2 5039  Note_on_c 0 38 0 
2 5040  Note_on_c 0 38 80 
2 5279  Note_on_c 0 38 0 
2 5280  Note_on_c 0 50 80 
2 5280  Note_on_c 0 45 80 
2 5519  Note_on_c 0 50 0 
2 5519  Note_on_c 0 45 0 
2 5520  Note_on_c 0 38 80 
2 5759  Note_on_c 0 38 0 
2 5760  Note_on_c 0 50 80 
2 5760  Note_on_c 0 45 80 
2 5760  Note_on_c 0 38 80 
2 6119  Note_on_c 0 50 0 
2 6119  Note_on_c 0 45 0 
2 6119  Note_on_c 0 38 0 
2 6120  Note_on_c 0 50 80 
2 6120  Note_on_c 0 45 80 
2 6120  Note_on_c 0 38 80 
2 6479  Note_on_c 0 50 0 
2 6479  Note_on_c 0 45 0 
2 6479  Note_on_c 0 38 0 
2 6480  Note_on_c 0 48 80 
2 6480  Note_on_c 0 43 80 
2 6480  Note_on_c 0 36 80 
2 6719  Note_on_c 0 48 0 
2 6719  Note_on_c 0 43 0 
2 6719  Note_on_c 0 36 0 
2 6720  Note_on_c 0 50 80 
2 6720  Note_on_c 0 45 80 
2 6720  Note_on_c 0 38 80 
2 7079  Note_on_c 0 50 0 
2 7079  Note_on_c 0 45 0 
2 7079  Note_on_c 0 38 0 
2 7080  Note_on_c 0 50 80 
2 7080  Note_on_c 0 45 80 
2 7080  Note_on_c 0 38 80 
2 7439  Note_on_c 0 50 0 
2 7439  Note_on_c 0 45 0 
2 7439  Note_on_c 0 38 0 
2 7440  Note_on_c 0 48 80 
2 7440  Note_on_c 0 43 80 
2 7440  Note_on_c 0 36 80 
2 7679  Note_on_c 0 48 0 
2 7679  Note_on_c 0 43 0 
2 7679  Note_on_c 0 36 0 
2 7680  Note_on_c 0 50 80 
2 7680  Note_on_c 0 38 80 
2 8159  Note_on_c 0 50 0 
2 8159  Note_on_c 0 38 0 
2 8160  Note_on_c 0 53 80 
2 8160  Note_on_c 0 41 80 
2 8639  Note_on_c 0 53 0 
2 8639  Note_on_c 0 41 0 
2 8640  Note_on_c 0 55 80 
2 8640  Note_on_c 0 43 80 
2 9119  Note_on_c 0 55 0 
2 9119  Note_on_c 0 43 0 
2 9120  Note_on_c 0 57 80 
2 9120  Note_on_c 0 45 80 
2 9599  Note_on_c 0 57 0 
2 9599  Note_on_c 0 45 0 
2 9600  Note_on_c 0 34 80 
2 9839  Note_on_c 0 34 0 
2 9840  Note_on_c 0 50 80 
2 9840  Note_on_c 0 46 80 
2 10079  Note_on_c 0 50 0 
2 10079  Note_on_c 0 46 0 
2 10080  Note_on_c 0 34 80 
2 10319  Note_on_c 0 34 0 
2 10320  Note_on_c 0 50 80 
2 10320  Note_on_c 0 46 80 
2 10559  Note_on_c 0 50 0 
2 10559  Note_on_c 0 46 0 
2 10560  Note_on_c 0 36 80 
2 10799  Note_on_c 0 36 0 
2 10800  Note_on_c 0 52 80 
2 10800  Note_on_c 0 48 80 
2 11039  Note_on_c 0 52 0 
2 11039  Note_on_c 0 48 0 
2 11040  Note_on_c 0 36 80 
2 11279  Note_on_c 0 36 0 
2 11280  Note_on_c 0 52 80 
2 11280  Note_on_c 0 48 80 
2 11519  Note_on_c 0 52 0 
2 11519  Note_on_c 0 48 0 
2 11520  Note_on_c 0 38 80 
2 11759  Note_on_c 0 38 0 
2 11760  Note_on_c 0 53 80 
2 11760  Note_on_c 0 50 80 
2 11999  Note_on_c 0 53 0 
2 11999  Note_on_c 0 50 0 
2 12000  Note_on_c 0 38 80 
2 12239  Note_on_c 0 38 0 
2 12240  Note_on_c 0 53 80 
2 12240  Note_on_c 0 50 80 
2 12479  Note_on_c 0 53 0 
2 12479  Note_on_c 0 50 0 
2 12480  Note_on_c 0 38 80 
2 12719  Note_on_c 0 38 0 
2 12720  Note_on_c 0 53 80 
2 12720  Note_on_c 0 50 80 
2 12959  Note_on_c 0 53 0 
2 12959  Note_on_c 0 50 0 
2 12960  Note_on_c 0 36 80 
2 13199  Note_on_c 0 36 0 
2 13200  Note_on_c 0 48 80 
2 13439  Note_on_c 0 48 0 
2 13440  Note_on_c 0 34 80 
2 13679  Note_on_c 0 34 0 
2 13680  Note_on_c 0 50 80 
2 13680  Note_on_c 0 46 80 
2 13919  Note_on_c 0 50 0 
2 13919  Note_on_c 0 46 0 
2 13920  Note_on_c 0 34 80 
2 14159  Note_on_c 0 34 0 
2 14160  Note_on_c 0 50 80 
2 14160  Note_on_c 0 46 80 
2 14399  Note_on_c 0 50 0 
2 14399  Note_on_c 0 46 0 
2 14400  Note_on_c 0 36 80 
2 14639  Note_on_c 0 36 0 
2 14640  Note_on_c 0 52 80 
2 14640  Note_on_c 0 48 80 
2 14879  Note_on_c 0 52 0 
2 14879  Note_on_c 0 48 0 
2 14880  Note_on_c 0 36 80 
2 15119  Note_on_c 0 36 0 
2 15120  Note_on_c 0 52 80 
2 15120  Note_on_c 0 48 80 
2 15359  Note_on_c 0 52 0 
2 15359  Note_on_c 0 48 0 
2 15360  Note_on_c 0 38 80 
2 15599  Note_on_c 0 38 0 
2 15600  Note_on_c 0 50 80 
2 15839  Note_on_c 0 50 0 
2 15840  Note_on_c 0 41 80 
2 16079  Note_on_c 0 41 0 
2 16080  Note_on_c 0 53 80 
2 16319  Note_on_c 0 53 0 
2 16320  Note_on_c 0 43 80 
2 16559  Note_on_c 0 43 0 
2 16560  Note_on_c 0 55 80 
2 16799  Note_on_c 0 55 0 
2 16800  Note_on_c 0 45 80 
2 17039  Note_on_c 0 45 0 
2 17040  Note_on_c 0 57 80 
2 17279  Note_on_c 0 57 0 
2 17280  Note_on_c 0 34 80 
2 17519  Note_on_c 0 34 0 
2 17520  Note_on_c 0 50 80 
2 17520  Note_on_c 0 46 80 
2 17759  Note_on_c 0 50 0 
2 17759  Note_on_c 0 46 0 
2 17760  Note_on_c 0 34 80 
2 17999  Note_on_c 0 34 0 
2 18000  Note_on_c 0 50 80 
2 18000  Note_on_c 0 46 80 
2 18239  Note_on_c 0 50 0 
2 18239  Note_on_c 0 46 0 
2 18240  Note_on_c 0 36 80 
2 18479  Note_on_c 0 36 0 
2 18480  Note_on_c 0 52 80 
2 18480  Note_on_c 0 48 80 
2 18719  Note_on_c 0 52 0 
2 18719  Note_on_c 0 48 0 
2 18720  Note_on_c 0 36 80 
2 18959  Note_on_c 0 36 0 
2 18960  Note_on_c 0 52 80 
2 18960  Note_on_c 0 48 80 
2 19199  Note_on_c 0 52 0 
2 19199  Note_on_c 0 48 0 
2 19200  Note_on_c 0 38 80 
2 19439  Note_on_c 0 38 0 
2 19440  Note_on_c 0 53 80 
2 19440  Note_on_c 0 50 80 
2 19679  Note_on_c 0 53 0 
2 19679  Note_on_c 0 50 0 
2 19680  Note_on_c 0 38 80 
2 19919  Note_on_c 0 38 0 
2 19920  Note_on_c 0 53 80 
2 19920  Note_on_c 0 50 80 
2 20159  Note_on_c 0 53 0 
2 20159  Note_on_c 0 50 0 
2 20160  Note_on_c 0 38 80 
2 20399  Note_on_c 0 38 0 
2 20400  Note_on_c 0 53 80 
2 20400  Note_on_c 0 50 80 
2 20639  Note_on_c 0 53 0 
2 20639  Note_on_c 0 50 0 
2 20640  Note_on_c 0 36 80 
2 20879  Note_on_c 0 36 0 
2 20880  Note_on_c 0 48 80 
2 21119  Note_on_c 0 48 0 
2 21120  Note_on_c 0 34 80 
2 21359  Note_on_c 0 34 0 
2 21360  Note_on_c 0 50 80 
2 21360  Note_on_c 0 46 80 
2 21599  Note_on_c 0 50 0 
2 21599  Note_on_c 0 46 0 
2 21600  Note_on_c 0 34 80 
2 21839  Note_on_c 0 34 0 
2 21840  Note_on_c 0 50 80 
2 21840  Note_on_c 0 46 80 
2 22079  Note_on_c 0 50 0 
2 22079  Note_on_c 0 46 0 
2 22080  Note_on_c 0 36 80 
2 22319  Note_on_c 0 36 0 
2 22320  Note_on_c 0 52 80 
2 22320  Note_on_c 0 48 80 
2 22559  Note_on_c 0 52 0 
2 22559  Note_on_c 0 48 0 
2 22560  Note_on_c 0 36 80 
2 22799  Note_on_c 0 36 0 
2 22800  Note_on_c 0 52 80 
2 22800  Note_on_c 0 48 80 
2 23039  Note_on_c 0 52 0 
2 23039  Note_on_c 0 48 0 
2 23040  Note_on_c 0 50 80 
2 23040  Note_on_c 0 38 80 
2 23399  Note_on_c 0 50 0 
2 23399  Note_on_c 0 38 0 
2 23400  Note_on_c 0 50 80 
2 23400  Note_on_c 0 38 80 
2 23759  Note_on_c 0 50 0 
2 23759  Note_on_c 0 38 0 
2 23760  Note_on_c 0 53 80 
2 23760  Note_on_c 0 41 80 
2 23999  Note_on_c 0 53 0 
2 23999  Note_on_c 0 41 0 
2 24000  Note_on_c 0 50 80 
2 24000  Note_on_c 0 38 80 
2 24479  Note_on_c 0 50 0 
2 24479  Note_on_c 0 38 0 
2 24480  Note_on_c 0 50 80 
2 24480  Note_on_c 0 38 80 
2 24719  Note_on_c 0 50 0 
2 24719  Note_on_c 0 38 0 
2 24720  Note_on_c 0 48 80 
2 24720  Note_on_c 0 36 80 
2 24959  Note_on_c 0 48 0 
2 24959  Note_on_c 0 36 0 
2 24960  Note_on_c 0 34 80 
2 25199  Note_on_c 0 34 0 
2 25200  Note_on_c 0 50 80 
2 25200  Note_on_c 0 46 80 
2 25439  Note_on_c 0 50 0 
2 25439  Note_on_c 0 46 0 
2 25440  Note_on_c 0 34 80 
2 25679  Note_on_c 0 34 0 
2 25680  Note_on_c 0 50 80 
2 25680  Note_on_c 0 46 80 
2 25919  Note_on_c 0 50 0 
2 25919  Note_on_c 0 46 0 
2 25920  Note_on_c 0 36 80 
2 26159  Note_on_c 0 36 0 
2 26160  Note_on_c 0 52 80 
2 26160  Note_on_c 0 48 80 
2 26399  Note_on_c 0 52 0 
2 26399  Note_on_c 0 48 0 
2 26400  Note_on_c 0 36 80 
2 26639  Note_on_c 0 36 0 
2 26640  Note_on_c 0 52 80 
2 26640  Note_on_c 0 48 80 
2 26879  Note_on_c 0 52 0 
2 26879  Note_on_c 0 48 0 
2 26880  Note_on_c 0 38 80 
2 27119  Note_on_c 0 38 0 
2 27120  Note_on_c 0 53 80 
2 27120  Note_on_c 0 50 80 
2 27359  Note_on_c 0 53 0 
2 27359  Note_on_c 0 50 0 
2 27360  Note_on_c 0 38 80 
2 27599  Note_on_c 0 38 0 
2 27600  Note_on_c 0 53 80 
2 27600  Note_on_c 0 50 80 
2 27839  Note_on_c 0 53 0 
2 27839  Note_on_c 0 50 0 
2 27840  Note_on_c 0 38 80 
2 28079  Note_on_c 0 38 0 
2 28080  Note_on_c 0 53 80 
2 28080  Note_on_c 0 50 80 
2 28319  Note_on_c 0 53 0 
2 28319  Note_on_c 0 50 0 
2 28320  Note_on_c 0 36 80 
2 28559  Note_on_c 0 36 0 
2 28560  Note_on_c 0 48 80 
2 28799  Note_on_c 0 48 0 
2 28800  Note_on_c 0 34 80 
2 29039  Note_on_c 0 34 0 
2 29040  Note_on_c 0 50 80 
2 29040  Note_on_c 0 46 80 
2 29279  Note_on_c 0 50 0 
2 29279  Note_on_c 0 46 0 
2 29280  Note_on_c 0 34 80 
2 29519  Note_on_c 0 34 0 
2 29520  Note_on_c 0 50 80 
2 29520  Note_on_c 0 46 80 
2 29759  Note_on_c 0 50 0 
2 29759  Note_on_c 0 46 0 
2 29760  Note_on_c 0 36 80 
2 29999  Note_on_c 0 36 0 
2 30000  Note_on_c 0 52 80 
2 30000  Note_on_c 0 48 80 
2 30239  Note_on_c 0 52 0 
2 30239  Note_on_c 0 48 0 
2 30240  Note_on_c 0 36 80 
2 30479  Note_on_c 0 36 0 
2 30480  Note_on_c 0 52 80 
2 30480  Note_on_c 0 48 80 
2 30719  Note_on_c 0 52 0 
2 30719  Note_on_c 0 48 0 
2 30720  Note_on_c 0 38 80 
2 30959  Note_on_c 0 38 0 
2 30960  Note_on_c 0 50 80 
2 31199  Note_on_c 0 50 0 
2 31200  Note_on_c 0 41 80 
2 31439  Note_on_c 0 41 0 
2 31440  Note_on_c 0 53 80 
2 31679  Note_on_c 0 53 0 
2 31680  Note_on_c 0 43 80 
2 31919  Note_on_c 0 43 0 
2 31920  Note_on_c 0 55 80 
2 32159  Note_on_c 0 55 0 
2 32160  Note_on_c 0 45 80 
2 32399  Note_on_c 0 45 0 
2 32400  Note_on_c 0 57 80 
2 32639  Note_on_c 0 57 0 
2 32640  Note_on_c 0 34 80 
2 32879  Note_on_c 0 34 0 
2 32880  Note_on_c 0 50 80 
2 32880  Note_on_c 0 46 80 
2 33119  Note_on_c 0 50 0 
2 33119  Note_on_c 0 46 0 
2 33120  Note_on_c 0 34 80 
2 33359  Note_on_c 0 34 0 
2 33360  Note_on_c 0 50 80 
2 33360  Note_on_c 0 46 80 
2 33599  Note_on_c 0 50 0 
2 33599  Note_on_c 0 46 0 
2 33600  Note_on_c 0 36 80 
2 33839  Note_on_c 0 36 0 
2 33840  Note_on_c 0 52 80 
2 33840  Note_on_c 0 48 80 
2 34079  Note_on_c 0 52 0 
2 34079  Note_on_c 0 48 0 
2 34080  Note_on_c 0 36 80 
2 34319  Note_on_c 0 36 0 
2 34320  Note_on_c 0 52 80 
2 34320  Note_on_c 0 48 80 
2 34559  Note_on_c 0 52 0 
2 34559  Note_on_c 0 48 0 
2 34560  Note_on_c 0 38 80 
2 34799  Note_on_c 0 38 0 
2 34800  Note_on_c 0 53 80 
2 34800  Note_on_c 0 50 80 
2 35039  Note_on_c 0 53 0 
2 35039  Note_on_c 0 50 0 
2 35040  Note_on_c 0 38 80 
2 35279  Note_on_c 0 38 0 
2 35280  Note_on_c 0 53 80 
2 35280  Note_on_c 0 50 80 
2 35519  Note_on_c 0 53 0 
2 35519  Note_on_c 0 50 0 
2 35520  Note_on_c 0 38 80 
2 35759  Note_on_c 0 38 0 
2 35760  Note_on_c 0 53 80 
2 35760  Note_on_c 0 50 80 
2 35999  Note_on_c 0 53 0 
2 35999  Note_on_c 0 50 0 
2 36000  Note_on_c 0 36 80 
2 36239  Note_on_c 0 36 0 
2 36240  Note_on_c 0 48 80 
2 36479  Note_on_c 0 48 0 
2 36480  Note_on_c 0 34 80 
2 36719  Note_on_c 0 34 0 
2 36720  Note_on_c 0 50 80 
2 36720  Note_on_c 0 46 80 
2 36959  Note_on_c 0 50 0 
2 36959  Note_on_c 0 46 0 
2 36960  Note_on_c 0 34 80 
2 37199  Note_on_c 0 34 0 
2 37200  Note_on_c 0 50 80 
2 37200  Note_on_c 0 46 80 
2 37439  Note_on_c 0 50 0 
2 37439  Note_on_c 0 46 0 
2 37440  Note_on_c 0 48 80 
2 37440  Note_on_c 0 36 80 
2 37919  Note_on_c 0 48 0 
2 37919  Note_on_c 0 36 0 
2 37920  Note_on_c 0 48 80 
2 37920  Note_on_c 0 36 80 
2 38159  Note_on_c 0 48 0 
2 38159  Note_on_c 0 36 0 
2 38160  Note_on_c 0 48 80 
2 38160  Note_on_c 0 36 80 
2 38399  Note_on_c 0 48 0 
2 38399  Note_on_c 0 36 0 
2 38400  Note_on_c 0 50 80 
2 38400  Note_on_c 0 38 80 
2 38759  Note_on_c 0 50 0 
2 38759  Note_on_c 0 38 0 
2 38760  Note_on_c 0 50 80 
2 38760  Note_on_c 0 38 80 
2 39119  Note_on_c 0 50 0 
2 39119  Note_on_c 0 38 0 
2 39120  Note_on_c 0 48 80 
2 39120  Note_on_c 0 36 80 
2 39359  Note_on_c 0 48 0 
2 39359  Note_on_c 0 36 0 
2 39360  Note_on_c 0 50 80 
2 39360  Note_on_c 0 38 80 
2 39839  Note_on_c 0 50 0 
2 39839  Note_on_c 0 38 0 
2 39840  Note_on_c 0 38 80 
2 39840  Note_on_c 0 26 80 
2 40079  Note_on_c 0 38 0 
2 40079  Note_on_c 0 26 0 
2 40080  Note_on_c 0 38 80 
2 40320  Note_on_c 0 50 80 
2 40320  Note_on_c 0 45 80 
2 40559  Note_on_c 0 50 0 
2 40559  Note_on_c 0 45 0 
2 40799  Note_on_c 0 38 0 
2 40800  Note_on_c 0 50 80 
2 40800  Note_on_c 0 45 80 
2 41039  Note_on_c 0 50 0 
2 41039  Note_on_c 0 45 0 
2 41040  Note_on_c 0 38 80 
2 41279  Note_on_c 0 38 0 
