1 17520  Note_on_c 0 69 80 
1 17759  Note_on_c 0 69 0 
1 17760  Note_on_c 0 62 80 
1 17879  Note_on_c 0 62 0 
1 17880  Note_on_c 0 60 80 
1 17999  Note_on_c 0 60 0 
1 18000  Note_on_c 0 62 80 
1 18119  Note_on_c 0 62 0 
1 18120  Note_on_c 0 60 80 
1 18239  Note_on_c 0 60 0 
1 18240  Note_on_c 0 67 80 
1 18479  Note_on_c 0 67 0 
1 18480  Note_on_c 0 69 80 
1 18719  Note_on_c 0 69 0 
1 18720  Note_on_c 0 62 80 
1 18839  Note_on_c 0 62 0 
1 18840  Note_on_c 0 60 80 
1 18959  Note_on_c 0 60 0 
1 18960  Note_on_c 0 62 80 
1 19079  Note_on_c 0 62 0 
1 19080  Note_on_c 0 60 80 
1 19199  Note_on_c 0 60 0 
1 19200  Note_on_c 0 67 80 
1 19439  Note_on_c 0 67 0 
1 19440  Note_on_c 0 69 80 
1 19679  Note_on_c 0 69 0 
1 19680  Note_on_c 0 62 80 
1 19799  Note_on_c 0 62 0 
1 19800  Note_on_c 0 60 80 
1 19919  Note_on_c 0 60 0 
1 19920  Note_on_c 0 62 80 
1 20039  Note_on_c 0 62 0 
1 20040  Note_on_c 0 60 80 
1 20159  Note_on_c 0 60 0 
1 20160  Note_on_c 0 65 80 
1 20399  Note_on_c 0 65 0 
1 20400  Note_on_c 0 64 80 
1 20479  Note_on_c 0 64 0 
1 20480  Note_on_c 0 65 80 
1 20559  Note_on_c 0 65 0 
1 20560  Note_on_c 0 64 80 
1 20639  Note_on_c 0 64 0 
1 20640  Note_on_c 0 62 80 
1 20879  Note_on_c 0 62 0 
1 20880  Note_on_c 0 60 80 
1 21119  Note_on_c 0 60 0 
1 21120  Note_on_c 0 62 80 
1 21359  Note_on_c 0 62 0 
1 21360  Note_on_c 0 60 80 
1 21479  Note_on_c 0 60 0 
1 21480  Note_on_c 0 62 80 
1 21599  Note_on_c 0 62 0 
1 21600  Note_on_c 0 65 80 
1 21839  Note_on_c 0 65 0 
1 21840  Note_on_c 0 62 80 
1 21959  Note_on_c 0 62 0 
1 21960  Note_on_c 0 65 80 
1 22079  Note_on_c 0 65 0 
1 22080  Note_on_c 0 67 80 
1 22319  Note_on_c 0 67 0 
1 22320  Note_on_c 0 67 80 
1 22439  Note_on_c 0 67 0 
1 22440  Note_on_c 0 69 80 
1 22559  Note_on_c 0 69 0 
1 22560  Note_on_c 0 72 80 
1 22679  Note_on_c 0 72 0 
1 22680  Note_on_c 0 77 80 
1 22799  Note_on_c 0 77 0 
1 22800  Note_on_c 0 69 80 
1 22919  Note_on_c 0 69 0 
1 22920  Note_on_c 0 72 80 
1 23039  Note_on_c 0 72 0 
1 23040  Note_on_c 0 77 80 
1 23279  Note_on_c 0 77 0 
1 23280  Note_on_c 0 76 80 
1 23359  Note_on_c 0 76 0 
1 23360  Note_on_c 0 77 80 
1 23439  Note_on_c 0 77 0 
1 23440  Note_on_c 0 76 80 
1 23519  Note_on_c 0 76 0 
1 23520  Note_on_c 0 74 80 
1 23759  Note_on_c 0 74 0 
1 23760  Note_on_c 0 72 80 
1 23999  Note_on_c 0 72 0 
1 24000  Note_on_c 0 74 80 
1 24239  Note_on_c 0 74 0 
1 24240  Note_on_c 0 72 80 
1 24479  Note_on_c 0 72 0 
1 24480  Note_on_c 0 74 80 
1 24480  Note_on_c 0 72 80 
1 24719  Note_on_c 0 74 0 
1 24719  Note_on_c 0 72 0 
1 24720  Note_on_c 0 77 80 
1 24720  Note_on_c 0 72 80 
1 24959  Note_on_c 0 77 0 
1 24959  Note_on_c 0 72 0 
1 24960  Note_on_c 0 79 80 
1 24960  Note_on_c 0 72 80 
1 25199  Note_on_c 0 79 0 
1 25199  Note_on_c 0 72 0 
1 25200  Note_on_c 0 81 80 
1 25439  Note_on_c 0 81 0 
1 25440  Note_on_c 0 74 80 
1 25559  Note_on_c 0 74 0 
1 25560  Note_on_c 0 72 80 
1 25679  Note_on_c 0 72 0 
1 25680  Note_on_c 0 74 80 
1 25799  Note_on_c 0 74 0 
1 25800  Note_on_c 0 72 80 
1 25919  Note_on_c 0 72 0 
1 25920  Note_on_c 0 79 80 
1 26159  Note_on_c 0 79 0 
1 26160  Note_on_c 0 81 80 
1 26399  Note_on_c 0 81 0 
1 26400  Note_on_c 0 74 80 
1 26519  Note_on_c 0 74 0 
1 26520  Note_on_c 0 72 80 
1 26639  Note_on_c 0 72 0 
1 26640  Note_on_c 0 74 80 
1 26759  Note_on_c 0 74 0 
1 26760  Note_on_c 0 72 80 
1 26879  Note_on_c 0 72 0 
1 26880  Note_on_c 0 79 80 
1 27119  Note_on_c 0 79 0 
1 27120  Note_on_c 0 81 80 
1 27359  Note_on_c 0 81 0 
1 27360  Note_on_c 0 74 80 
1 27479  Note_on_c 0 74 0 
1 27480  Note_on_c 0 72 80 
1 27599  Note_on_c 0 72 0 
1 27600  Note_on_c 0 74 80 
1 27719  Note_on_c 0 74 0 
1 27720  Note_on_c 0 72 80 
1 27839  Note_on_c 0 72 0 
1 27840  Note_on_c 0 77 80 
1 28079  Note_on_c 0 77 0 
1 28080  Note_on_c 0 76 80 
1 28159  Note_on_c 0 76 0 
1 28160  Note_on_c 0 77 80 
1 28239  Note_on_c 0 77 0 
1 28240  Note_on_c 0 76 80 
1 28319  Note_on_c 0 76 0 
1 28320  Note_on_c 0 74 80 
1 28559  Note_on_c 0 74 0 
1 28560  Note_on_c 0 72 80 
1 28799  Note_on_c 0 72 0 
1 28800  Note_on_c 0 79 80 
1 28800  Note_on_c 0 72 80 
1 29039  Note_on_c 0 79 0 
1 29039  Note_on_c 0 72 0 
1 29040  Note_on_c 0 81 80 
1 29279  Note_on_c 0 81 0 
1 29280  Note_on_c 0 74 80 
1 29399  Note_on_c 0 74 0 
1 29400  Note_on_c 0 72 80 
1 29519  Note_on_c 0 72 0 
1 29520  Note_on_c 0 74 80 
1 29639  Note_on_c 0 74 0 
1 29640  Note_on_c 0 72 80 
1 29759  Note_on_c 0 72 0 
1 29760  Note_on_c 0 79 80 
1 29999  Note_on_c 0 79 0 
1 30000  Note_on_c 0 81 80 
1 30239  Note_on_c 0 81 0 
1 30240  Note_on_c 0 74 80 
1 30359  Note_on_c 0 74 0 
1 30360  Note_on_c 0 72 80 
1 30479  Note_on_c 0 72 0 
1 30480  Note_on_c 0 74 80 
1 30599  Note_on_c 0 74 0 
1 30600  Note_on_c 0 72 80 
1 30660  Note_on_c 0 74 80 
1 30689  Note_on_c 0 74 0 
1 30690  Note_on_c 0 77 80 
1 30719  Note_on_c 0 77 0 
1 30719  Note_on_c 0 72 0 
1 30720  Note_on_c 0 79 80 
1 30959  Note_on_c 0 79 0 
1 30960  Note_on_c 0 81 80 
1 31199  Note_on_c 0 81 0 
1 31200  Note_on_c 0 84 80 
1 31439  Note_on_c 0 84 0 
1 31440  Note_on_c 0 89 80 
1 31440  Note_on_c 0 81 80 
1 31679  Note_on_c 0 89 0 
1 31679  Note_on_c 0 81 0 
1 31680  Note_on_c 0 88 80 
1 31680  Note_on_c 0 81 80 
1 31799  Note_on_c 0 88 0 
1 31799  Note_on_c 0 81 0 
1 31800  Note_on_c 0 89 80 
1 31919  Note_on_c 0 89 0 
1 31920  Note_on_c 0 88 80 
1 32039  Note_on_c 0 88 0 
1 32040  Note_on_c 0 86 80 
1 32159  Note_on_c 0 86 0 
1 32160  Note_on_c 0 84 80 
1 32399  Note_on_c 0 84 0 
1 32400  Note_on_c 0 81 80 
1 32639  Note_on_c 0 81 0 
1 32640  Note_on_c 0 79 80 
1 32640  Note_on_c 0 72 80 
1 32879  Note_on_c 0 79 0 
1 32879  Note_on_c 0 72 0 
1 32880  Note_on_c 0 81 80 
1 33119  Note_on_c 0 81 0 
1 33120  Note_on_c 0 74 80 
1 33239  Note_on_c 0 74 0 
1 33240  Note_on_c 0 72 80 
1 33359  Note_on_c 0 72 0 
1 33360  Note_on_c 0 74 80 
1 33479  Note_on_c 0 74 0 
1 33480  Note_on_c 0 72 80 
1 33599  Note_on_c 0 72 0 
1 33600  Note_on_c 0 79 80 
1 33839  Note_on_c 0 79 0 
1 33840  Note_on_c 0 81 80 
1 34079  Note_on_c 0 81 0 
